Name,Role,Subrole,TimeAlive,Mitigated,Ilvl,DTPS,HPS,DPS,Count
Goopdtwo,DPS,RANGED,503.0,0.22149999999999997,227,1618.1,450.8,7070.6,0.0
Surgemachine,DPS,RANGED,503.0,0.2018,227,1479.8,168.2,6251.3,0.0
Twistedsp,DPS,RANGED,503.0,0.1281,227,1991.0,858.5,6244.6,0.0
Atrocity,DPS,RANGED,503.0,0.0944,229,1877.6,425.5,6227.3,0.0
Nicksdruid,DPS,RANGED,474.0,0.2205,224,1513.2,258.6,5894.1,0.0
Vilwarr,DPS,MELEE,503.0,0.3141,229,1613.9,377.2,5664.9,3.0
Trillm,DPS,MELEE,503.0,0.28350000000000003,228,1446.7,434.7,5392.3,0.0
Xyroblast,DPS,RANGED,503.0,0.11199999999999999,226,1830.8,303.3,5334.8,5.0
Impecs,DPS,MELEE,503.0,0.15560000000000002,229,1597.4,548.9,5220.9,0.0
Avade,DPS,MELEE,503.0,0.3408,228,1359.3,896.3,5188.8,5.0
Ericjunior,DPS,RANGED,503.0,0.13720000000000002,227,1663.3,41.2,4813.3,5.0
Lipdk,DPS,MELEE,503.0,0.1603,229,1743.6,251.0,4760.1,4.0
Kíngflydk,DPS,MELEE,503.0,0.1164,229,1732.5,126.9,4723.7,2.0
Dharkee,TANK,TANK,503.0,0.5501,228,4588.5,1617.6,3242.3,0.0
Scottm,TANK,TANK,503.0,0.5859000000000001,227,5724.3,1975.3,2941.3,0.0
Truckboy,DPS,MELEE,35.0,0.2531,228,443.8,225.2,2394.0,0.0
Driney,HEALER,HEALER,503.0,0.1602,229,1512.3,8289.7,1586.6,0.0
Maeveycakes,HEALER,HEALER,503.0,0.12869999999999998,229,1688.7,8736.8,422.9,6.0
Fearrshaman,HEALER,HEALER,503.0,0.1478,227,1630.9,7685.7,59.7,0.0
Åsúnå,HEALER,HEALER,35.0,0.0677,220,1907.6,5168.7,0.0,0.0
